id,method,lon,lat,depth,target_depth,poc_flux_obs,ccsm_whoi,cesm_ethz,ecco_darwin,fesom_recom_lr,mpiom_hammoc,mri_esm2_0,nor_esm_oc1.2,nowicki_2022,simple_trim,wang_2023
4514,sediment trap,-64.67,10.5,810,1000,64.5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4515,sediment trap,-64.67,10.5,810,1000,97.8,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4516,sediment trap,-64.67,10.5,810,1000,6.5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4517,sediment trap,-64.67,10.5,810,1000,19.8,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4518,sediment trap,-64.67,10.5,810,1000,11.9,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4519,sediment trap,-64.67,10.5,810,1000,30.1,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4520,sediment trap,-64.67,10.5,810,1000,58.3,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4521,sediment trap,-64.67,10.5,810,1000,17.9,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4522,sediment trap,-64.67,10.5,810,1000,13.1,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4523,sediment trap,-64.67,10.5,810,1000,40.3,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4524,sediment trap,-64.67,10.5,810,1000,19.4,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4525,sediment trap,-64.67,10.5,810,1000,22.2,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4526,sediment trap,-64.67,10.5,810,1000,18.2,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4527,sediment trap,-64.67,10.5,810,1000,29.2,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4528,sediment trap,-64.67,10.5,810,1000,25.5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4529,sediment trap,-64.67,10.5,810,1000,12.9,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4530,sediment trap,-64.67,10.5,810,1000,29.7,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4531,sediment trap,-64.67,10.5,810,1000,11.8,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4532,sediment trap,-64.67,10.5,810,1000,81.8,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4533,sediment trap,-64.67,10.5,810,1000,36.5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4534,sediment trap,-64.67,10.5,810,1000,55.2,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4535,sediment trap,-64.67,10.5,810,1000,54.7,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4536,sediment trap,-64.67,10.5,810,1000,26,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4537,sediment trap,-64.67,10.5,810,1000,11,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4538,sediment trap,-64.67,10.5,810,1000,16.8,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4539,sediment trap,-64.67,10.5,810,1000,6.5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4540,sediment trap,-64.67,10.5,810,1000,92.7,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4541,sediment trap,-64.67,10.5,810,1000,47,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4542,sediment trap,-64.67,10.5,810,1000,40.5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4543,sediment trap,-64.67,10.5,810,1000,67.1,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
